2025-11-16T00:19:29.242556 | NodeRED: False | Grafana: False
2025-11-16T00:19:36.300993 | NodeRED: False | Grafana: False
2025-11-16T00:27:14.342643 | NodeRED: False | Grafana: False
2025-11-16T00:27:21.421423 | NodeRED: False | Grafana: False
2025-11-16T00:27:28.451789 | NodeRED: False | Grafana: False
2025-11-16T00:27:35.534184 | NodeRED: False | Grafana: False
2025-11-16T00:27:42.570201 | NodeRED: False | Grafana: False
2025-11-16T00:27:49.638497 | NodeRED: False | Grafana: False
2025-11-16T00:27:56.691062 | NodeRED: False | Grafana: False
2025-11-16T00:28:03.736783 | NodeRED: False | Grafana: False
2025-11-16T00:28:10.780047 | NodeRED: False | Grafana: False
2025-11-16T00:28:17.829603 | NodeRED: False | Grafana: False
2025-11-16T00:28:24.919714 | NodeRED: False | Grafana: False
2025-11-16T00:28:31.997140 | NodeRED: False | Grafana: False
2025-11-16T00:28:39.044153 | NodeRED: False | Grafana: False
2025-11-16T00:28:46.167395 | NodeRED: False | Grafana: False
2025-11-16T00:28:53.271579 | NodeRED: False | Grafana: False
2025-11-16T00:29:00.348320 | NodeRED: False | Grafana: False
2025-11-16T00:29:07.423221 | NodeRED: False | Grafana: False
2025-11-16T00:29:14.479148 | NodeRED: False | Grafana: False
2025-11-16T00:29:21.575021 | NodeRED: False | Grafana: False
2025-11-16T00:29:28.674591 | NodeRED: False | Grafana: False
2025-11-16T00:29:35.726247 | NodeRED: False | Grafana: False
2025-11-16T00:29:42.808911 | NodeRED: False | Grafana: False
2025-11-16T00:29:49.881095 | NodeRED: False | Grafana: False
2025-11-16T00:29:56.966328 | NodeRED: False | Grafana: False
2025-11-16T00:30:04.056516 | NodeRED: False | Grafana: False
2025-11-16T00:30:11.138330 | NodeRED: False | Grafana: False
2025-11-16T00:30:18.237689 | NodeRED: False | Grafana: False
2025-11-16T00:30:25.325042 | NodeRED: False | Grafana: False
2025-11-16T00:42:11.377277 | NodeRED: False | Grafana: False
2025-11-16T00:42:18.454322 | NodeRED: False | Grafana: False
2025-11-16T00:42:25.516210 | NodeRED: False | Grafana: False
2025-11-16T00:42:32.595175 | NodeRED: False | Grafana: False
2025-11-16T00:42:39.632366 | NodeRED: False | Grafana: False
2025-11-16T00:42:46.682099 | NodeRED: False | Grafana: False
2025-11-16T00:42:53.740533 | NodeRED: False | Grafana: False
2025-11-16T00:43:00.831318 | NodeRED: False | Grafana: False
2025-11-16T00:43:07.874231 | NodeRED: False | Grafana: False
2025-11-16T00:43:14.925223 | NodeRED: False | Grafana: False
2025-11-16T00:43:22.001034 | NodeRED: False | Grafana: False
2025-11-16T00:43:29.057876 | NodeRED: False | Grafana: False
2025-11-16T00:43:36.114372 | NodeRED: False | Grafana: False
2025-11-16T00:43:43.200206 | NodeRED: False | Grafana: False
2025-11-16T00:43:50.230616 | NodeRED: False | Grafana: False
2025-11-16T00:43:57.288817 | NodeRED: False | Grafana: False
2025-11-16T00:44:04.328336 | NodeRED: False | Grafana: False
2025-11-16T00:44:11.380819 | NodeRED: False | Grafana: False
2025-11-16T00:44:18.476315 | NodeRED: False | Grafana: False
2025-11-16T00:44:25.515147 | NodeRED: False | Grafana: False
2025-11-16T00:44:32.590371 | NodeRED: False | Grafana: False
2025-11-16T00:44:39.664939 | NodeRED: False | Grafana: False
2025-11-16T00:44:46.753255 | NodeRED: False | Grafana: False
2025-11-16T00:44:53.792275 | NodeRED: False | Grafana: False
2025-11-16T00:45:00.884847 | NodeRED: False | Grafana: False
2025-11-16T00:45:07.972393 | NodeRED: False | Grafana: False
2025-11-16T00:45:15.007445 | NodeRED: False | Grafana: False
2025-11-16T00:45:22.058276 | NodeRED: False | Grafana: False
2025-11-16T00:45:29.114402 | NodeRED: False | Grafana: False
2025-11-16T00:45:36.160593 | NodeRED: False | Grafana: False
2025-11-16T00:45:43.225707 | NodeRED: False | Grafana: False
2025-11-16T00:45:50.308871 | NodeRED: False | Grafana: False
2025-11-16T00:45:57.387874 | NodeRED: False | Grafana: False
2025-11-16T00:46:04.466839 | NodeRED: False | Grafana: False
2025-11-16T00:46:11.541751 | NodeRED: False | Grafana: False
2025-11-16T00:46:18.574683 | NodeRED: False | Grafana: False
2025-11-16T00:46:25.602951 | NodeRED: False | Grafana: False
2025-11-16T00:46:32.694265 | NodeRED: False | Grafana: False
2025-11-16T00:46:39.748687 | NodeRED: False | Grafana: False
2025-11-16T00:46:46.797295 | NodeRED: False | Grafana: False
2025-11-16T00:46:53.875082 | NodeRED: False | Grafana: False
2025-11-16T00:47:00.964107 | NodeRED: False | Grafana: False
2025-11-16T00:47:08.035404 | NodeRED: False | Grafana: False
2025-11-16T00:47:15.105513 | NodeRED: False | Grafana: False
2025-11-16T00:47:22.173555 | NodeRED: False | Grafana: False
2025-11-16T00:47:29.245235 | NodeRED: False | Grafana: False
2025-11-16T00:47:36.351851 | NodeRED: False | Grafana: False
2025-11-16T00:47:43.382018 | NodeRED: False | Grafana: False
2025-11-16T00:47:50.486023 | NodeRED: False | Grafana: False
2025-11-16T00:47:57.546364 | NodeRED: False | Grafana: False
2025-11-16T00:48:04.602930 | NodeRED: False | Grafana: False
