2025-11-15T21:18:51.845031 | NodeRED: True | Grafana: False
2025-11-15T21:18:58.908330 | NodeRED: True | Grafana: False
2025-11-15T21:19:05.979962 | NodeRED: True | Grafana: False
2025-11-15T21:19:13.042864 | NodeRED: True | Grafana: False
2025-11-15T21:19:20.077587 | NodeRED: True | Grafana: False
2025-11-15T21:19:27.133000 | NodeRED: True | Grafana: False
2025-11-15T21:19:34.205505 | NodeRED: True | Grafana: False
2025-11-15T21:19:41.289778 | NodeRED: True | Grafana: False
2025-11-15T21:19:48.351946 | NodeRED: True | Grafana: False
2025-11-15T21:19:55.419777 | NodeRED: True | Grafana: False
2025-11-15T21:20:02.484144 | NodeRED: True | Grafana: False
2025-11-15T21:20:09.542463 | NodeRED: True | Grafana: False
2025-11-15T21:20:16.633477 | NodeRED: True | Grafana: False
2025-11-15T21:20:23.697351 | NodeRED: True | Grafana: False
2025-11-15T21:20:30.780095 | NodeRED: True | Grafana: False
2025-11-15T21:20:37.867410 | NodeRED: True | Grafana: False
2025-11-15T21:20:44.949036 | NodeRED: True | Grafana: False
2025-11-15T21:20:52.036978 | NodeRED: True | Grafana: False
2025-11-15T21:20:59.113455 | NodeRED: True | Grafana: False
2025-11-15T21:21:06.174114 | NodeRED: True | Grafana: False
2025-11-15T21:21:13.233726 | NodeRED: True | Grafana: False
2025-11-15T21:21:20.307896 | NodeRED: True | Grafana: False
2025-11-15T21:21:27.397593 | NodeRED: True | Grafana: False
2025-11-15T21:21:34.483284 | NodeRED: True | Grafana: False
2025-11-15T21:21:41.549283 | NodeRED: True | Grafana: False
2025-11-15T21:21:48.652572 | NodeRED: True | Grafana: False
2025-11-15T21:21:55.705909 | NodeRED: True | Grafana: False
2025-11-15T21:22:02.798300 | NodeRED: True | Grafana: False
2025-11-15T21:22:09.867019 | NodeRED: True | Grafana: False
2025-11-15T21:22:16.956053 | NodeRED: True | Grafana: False
2025-11-15T21:22:24.024340 | NodeRED: True | Grafana: False
2025-11-15T21:22:31.074372 | NodeRED: True | Grafana: False
2025-11-15T21:22:38.175270 | NodeRED: True | Grafana: False
2025-11-15T21:22:45.275150 | NodeRED: True | Grafana: False
2025-11-15T21:22:52.367694 | NodeRED: True | Grafana: False
2025-11-15T21:22:59.440881 | NodeRED: True | Grafana: False
2025-11-15T21:23:06.511663 | NodeRED: True | Grafana: False
2025-11-15T21:23:13.569522 | NodeRED: True | Grafana: False
2025-11-15T21:23:20.646109 | NodeRED: True | Grafana: False
2025-11-15T21:23:27.714078 | NodeRED: True | Grafana: False
2025-11-15T21:23:34.794316 | NodeRED: True | Grafana: False
2025-11-15T21:23:41.883300 | NodeRED: True | Grafana: False
